TransactionID,CustomerID,TransactionAmount,TransactionDateTime,TransactionType,MerchantCategory,DeviceType,IP_Address,Geolocation,AccountBalance,IsHighRiskCountry,NumberOfFailedLogins,IsNewPayee,TransactionChannel,HistoricalFraudScore,FraudLabel
T100035,C1284,5335.32,2024-05-28 06:08:42,Purchase,Luxury Goods,Mobile,35.236.236.130,"Warsaw, Poland",28527.0,True,3,True,Online,0.74,1
T100036,C1828,9736.85,2024-07-28 22:43:05,Transfer,Groceries,ATM,74.143.176.118,"Amsterdam, Netherlands",31425.46,True,5,True,Online,0.25,1
T100037,C1890,7557.67,2024-03-10 15:50:14,Purchase,Electronics,Mobile,15.202.164.52,"Warsaw, Poland",3854.64,True,3,True,Online,0.79,1
T100038,C1006,4657.49,2024-10-30 21:07:03,Purchase,Luxury Goods,Mobile,211.222.243.195,"Warsaw, Poland",7167.27,True,1,True,ATM,0.17,0
T100039,C1777,1318.82,2024-06-22 17:02:49,Transfer,Luxury Goods,Desktop,114.226.14.240,"Amsterdam, Netherlands",45300.65,False,0,False,Branch,0.59,0
T100040,C1825,8128.7,2024-10-06 00:34:20,Purchase,Groceries,ATM,50.240.78.33,"Berlin, Germany",10525.19,True,5,False,Online,0.64,1
T100041,C1163,9196.97,2024-08-30 01:58:57,Purchase,Healthcare,Mobile,52.57.12.244,"Berlin, Germany",4501.21,True,4,True,Branch,0.24,1
T100042,C1714,4683.29,2024-02-16 12:31:11,Withdrawal,Groceries,Desktop,152.100.145.13,"Paris, France",38711.17,True,2,True,Branch,0.69,0
T100043,C1432,4556.39,2024-03-24 04:24:03,Purchase,Electronics,Desktop,202.176.150.201,"Amsterdam, Netherlands",23175.61,False,5,False,Online,0.15,0
T100044,C1348,6845.1,2024-08-02 22:53:33,Purchase,Travel,Desktop,191.175.118.19,"Amsterdam, Netherlands",25336.6,True,0,True,Online,0.64,1
T100045,C1284,7102.45,2024-10-23 11:42:16,Withdrawal,Electronics,ATM,22.241.63.80,"Paris, France",17841.96,False,5,False,Branch,0.01,1
T100046,C1159,4654.5,2024-07-17 06:49:20,Purchase,Healthcare,ATM,23.37.180.228,"Amsterdam, Netherlands",21311.42,True,5,False,Online,0.3,1
T100047,C1220,2317.71,2024-05-05 00:25:06,Transfer,Electronics,Desktop,83.227.193.187,"Warsaw, Poland",17913.87,True,4,True,Online,0.44,1
T100048,C1980,2238.72,2024-07-24 20:08:53,Transfer,Luxury Goods,Desktop,205.208.104.174,"Berlin, Germany",45706.75,True,2,False,Online,0.53,0
T100049,C1781,8611.1,2024-07-26 17:48:29,Withdrawal,Healthcare,Mobile,70.154.249.44,"Amsterdam, Netherlands",46561.14,True,4,True,Branch,0.31,1
T100050,C1344,6169.8,2024-08-04 07:53:01,Purchase,Healthcare,ATM,111.200.252.202,"Warsaw, Poland",43961.39,True,1,False,ATM,0.22,0
T100051,C1104,9128.7,2024-06-12 01:46:37,Withdrawal,Groceries,Desktop,2.203.116.162,"Paris, France",2415.82,True,5,False,Online,0.62,1
T100052,C1094,3921.38,2024-09-26 14:22:16,Withdrawal,Travel,Desktop,150.40.44.196,"Berlin, Germany",18621.73,False,3,True,Branch,0.28,0
T100053,C1389,6996.45,2024-01-04 11:41:03,Transfer,Groceries,ATM,116.125.131.18,"Amsterdam, Netherlands",14837.92,True,5,False,Branch,0.69,1
T100054,C1099,6652.14,2024-08-11 08:12:46,Transfer,Luxury Goods,Mobile,22.15.80.154,"Berlin, Germany",1042.02,True,5,False,ATM,0.56,1
T100055,C1367,7888.0,2024-05-11 17:19:38,Withdrawal,Travel,Desktop,29.235.72.100,"Warsaw, Poland",7196.35,True,2,False,ATM,0.39,0
T100056,C1867,8824.16,2024-06-17 13:37:09,Withdrawal,Travel,Desktop,134.249.55.245,"Amsterdam, Netherlands",21878.86,False,5,False,ATM,0.94,1
T100057,C1352,4533.38,2024-08-22 08:38:28,Purchase,Healthcare,Mobile,94.128.223.119,"Berlin, Germany",2954.77,True,0,True,Online,0.12,0
T100058,C1618,303.61,2024-10-23 08:18:56,Purchase,Travel,Mobile,173.36.90.95,"Amsterdam, Netherlands",33268.52,False,0,False,Online,0.63,0
T100059,C1270,4753.87,2024-08-18 00:48:08,Purchase,Luxury Goods,ATM,170.145.98.89,"Paris, France",6322.8,True,4,True,ATM,0.91,1
T100060,C1826,3515.06,2024-02-05 02:10:48,Withdrawal,Healthcare,Mobile,8.134.242.119,"Amsterdam, Netherlands",4865.21,False,2,False,Online,0.64,0
T100061,C1044,4612.96,2024-10-29 16:21:06,Purchase,Healthcare,Desktop,143.34.76.117,"Paris, France",6880.79,False,5,True,ATM,0.08,0
T100062,C1747,1708.84,2024-06-16 13:04:56,Transfer,Healthcare,ATM,163.119.235.185,"Paris, France",42180.52,True,4,True,ATM,0.72,1
T100063,C1470,7679.65,2024-05-14 18:04:06,Transfer,Electronics,Mobile,133.95.169.236,"Berlin, Germany",18394.61,True,0,False,ATM,0.86,1
T100064,C1549,6044.8,2024-07-09 08:41:28,Withdrawal,Luxury Goods,ATM,110.120.229.232,"Warsaw, Poland",1225.18,True,1,False,Branch,0.72,1
T100065,C1127,1274.81,2024-01-07 23:12:25,Withdrawal,Groceries,Mobile,133.240.78.99,"Paris, France",1681.51,False,0,True,Online,0.12,0
T100066,C1996,1030.22,2024-09-03 20:59:33,Withdrawal,Groceries,ATM,60.12.49.73,"Warsaw, Poland",10780.33,True,1,False,Online,0.45,0
T100067,C1944,8175.71,2024-07-25 14:18:45,Transfer,Groceries,Mobile,99.82.158.31,"Paris, France",43013.56,True,5,False,ATM,0.56,1
T100068,C1387,7967.78,2024-10-15 02:28:50,Purchase,Luxury Goods,Mobile,90.26.112.242,"Amsterdam, Netherlands",37520.05,False,1,False,Online,0.56,0
T100069,C1080,3259.37,2024-07-24 16:54:26,Transfer,Groceries,Desktop,214.135.30.109,"Amsterdam, Netherlands",17440.65,False,0,False,Branch,0.53,0
T100070,C1565,6494.86,2024-04-07 23:06:55,Purchase,Groceries,ATM,172.104.189.80,"Berlin, Germany",43047.06,True,2,False,Online,0.83,1
T100071,C1300,7924.52,2024-05-23 00:47:57,Transfer,Luxury Goods,Desktop,66.84.201.18,"Warsaw, Poland",11957.76,True,5,True,Branch,0.58,1
T100072,C1849,5327.92,2024-07-04 21:42:37,Withdrawal,Electronics,Mobile,133.82.141.143,"Warsaw, Poland",38936.38,True,5,False,Online,0.35,1
T100073,C1643,4008.76,2024-02-25 04:36:00,Purchase,Luxury Goods,Desktop,119.123.254.18,"Amsterdam, Netherlands",49291.65,False,1,False,Online,0.3,0
T100074,C1633,4135.01,2024-06-15 10:53:46,Purchase,Healthcare,Desktop,80.59.223.31,"Berlin, Germany",49686.37,False,0,False,Online,0.98,0
T100075,C1906,6209.13,2024-03-02 12:33:08,Withdrawal,Healthcare,Desktop,76.237.22.91,"Amsterdam, Netherlands",11838.76,False,5,True,Online,0.78,1
T100076,C1882,5479.94,2024-09-29 22:32:02,Withdrawal,Healthcare,ATM,212.217.45.74,"Berlin, Germany",13506.56,False,5,True,ATM,0.18,1
T100077,C1370,9738.94,2024-11-14 11:14:32,Transfer,Electronics,Mobile,220.202.206.45,"Warsaw, Poland",39898.13,True,5,False,Branch,0.19,1
T100078,C1591,3838.78,2024-06-30 13:46:32,Purchase,Groceries,Mobile,74.189.77.82,"Warsaw, Poland",48576.63,False,5,False,ATM,0.65,0
T100079,C1196,3407.8,2024-07-30 17:20:08,Purchase,Groceries,Mobile,109.201.24.239,"Paris, France",40852.13,False,4,True,Branch,0.33,0
T100080,C1721,8139.34,2024-09-01 17:32:57,Withdrawal,Groceries,Mobile,7.149.42.49,"Warsaw, Poland",4553.9,True,0,True,ATM,0.89,0
T100081,C1071,5910.11,2024-03-18 07:07:07,Withdrawal,Luxury Goods,ATM,216.173.11.133,"Amsterdam, Netherlands",34658.41,False,4,True,Online,0.2,1
T100082,C1046,7843.36,2024-11-08 05:04:55,Withdrawal,Healthcare,Desktop,68.61.57.28,"Paris, France",13474.16,False,3,True,ATM,0.8,1
T100083,C1677,4354.1,2024-03-02 22:17:48,Purchase,Electronics,Mobile,118.243.127.107,"Warsaw, Poland",45488.87,True,0,True,ATM,0.44,0
T100084,C1233,7873.48,2024-07-16 04:57:28,Purchase,Electronics,ATM,196.16.167.8,"Amsterdam, Netherlands",25146.0,False,1,True,Online,0.44,1
T100085,C1791,5445.72,2024-01-03 13:13:02,Withdrawal,Luxury Goods,Mobile,80.66.228.82,"Amsterdam, Netherlands",43289.01,True,2,True,Branch,0.64,1
T100086,C1296,2362.31,2024-08-27 18:10:14,Purchase,Travel,ATM,52.30.186.185,"Warsaw, Poland",11343.58,True,4,False,Branch,0.42,1
T100087,C1081,6626.46,2024-03-30 01:37:20,Transfer,Travel,Mobile,148.24.204.199,"Paris, France",2372.9,True,1,True,ATM,0.06,0
T100088,C1875,779.87,2024-10-08 11:20:20,Withdrawal,Healthcare,Mobile,54.70.39.132,"Warsaw, Poland",8817.88,False,0,False,ATM,0.2,0
T100089,C1238,9308.7,2024-07-29 20:53:12,Purchase,Luxury Goods,ATM,124.158.102.154,"Warsaw, Poland",8701.81,False,0,True,Branch,0.93,1
T100090,C1887,5742.31,2024-06-30 23:05:05,Withdrawal,Electronics,ATM,64.87.236.236,"Berlin, Germany",40246.61,True,4,True,Branch,0.62,1
T100091,C1103,4866.82,2024-03-30 12:54:20,Withdrawal,Healthcare,Mobile,81.88.243.31,"Paris, France",26797.72,True,5,False,Online,0.26,1
T100092,C1389,5922.04,2024-04-29 23:10:27,Transfer,Travel,ATM,143.244.111.149,"Berlin, Germany",9600.02,True,2,False,Online,0.17,1
T100093,C1284,4629.62,2024-08-02 19:06:55,Purchase,Luxury Goods,ATM,8.108.144.212,"Amsterdam, Netherlands",9684.73,False,5,True,ATM,0.15,0
T100094,C1464,5551.32,2024-03-24 04:25:42,Purchase,Luxury Goods,ATM,137.78.94.65,"Berlin, Germany",42663.68,False,1,True,Branch,0.03,1
T100095,C1650,8220.41,2024-09-01 16:13:27,Withdrawal,Healthcare,Mobile,38.218.139.240,"Amsterdam, Netherlands",48606.37,False,2,False,Branch,0.63,0
T100096,C1854,1762.56,2024-07-31 01:31:42,Transfer,Travel,ATM,49.46.176.233,"Paris, France",16510.16,False,5,False,ATM,0.42,0
T100097,C1373,9558.88,2024-08-30 22:54:53,Withdrawal,Travel,ATM,70.219.101.251,"Berlin, Germany",5660.6,True,5,False,ATM,0.81,1
T100098,C1166,697.01,2024-11-02 17:26:33,Transfer,Electronics,ATM,80.132.128.97,"Amsterdam, Netherlands",6967.32,False,4,True,Branch,0.57,0
T100099,C1379,1088.34,2024-06-09 15:14:31,Transfer,Luxury Goods,Mobile,132.163.22.241,"Berlin, Germany",33188.32,False,3,True,Online,0.87,0
T100100,C1363,8140.85,2024-10-31 08:43:19,Purchase,Luxury Goods,Mobile,195.57.51.209,"Paris, France",46711.59,False,1,False,Branch,0.81,0
T100101,C1214,7713.66,2024-06-07 14:30:07,Purchase,Luxury Goods,Mobile,179.238.22.150,"Amsterdam, Netherlands",37196.82,True,0,False,Online,0.22,1
T100102,C1686,3789.73,2024-11-13 13:32:52,Purchase,Travel,Mobile,35.90.160.151,"Amsterdam, Netherlands",10278.96,True,4,False,Online,0.52,1
T100103,C1273,4943.46,2024-07-04 01:04:06,Purchase,Travel,Desktop,73.63.81.158,"Amsterdam, Netherlands",37730.77,True,4,True,ATM,0.37,1
T100104,C1718,6601.99,2024-02-04 05:24:33,Purchase,Groceries,Desktop,188.88.119.97,"Amsterdam, Netherlands",4321.61,False,0,True,ATM,0.03,0
T100105,C1959,906.24,2024-07-04 04:10:42,Transfer,Healthcare,ATM,188.209.46.235,"Warsaw, Poland",7711.55,False,3,False,Online,0.36,0
T100106,C1699,8170.52,2024-10-29 16:08:45,Purchase,Healthcare,ATM,174.30.204.180,"Paris, France",7644.26,True,2,True,Online,0.76,1
T100107,C1663,8872.73,2024-09-19 07:25:19,Withdrawal,Electronics,ATM,211.57.120.46,"Paris, France",22033.06,True,3,True,ATM,0.46,0
T100108,C1073,9032.66,2024-01-18 17:00:52,Transfer,Healthcare,Desktop,211.145.100.165,"Paris, France",18146.44,False,1,False,Online,0.69,0
T100109,C1623,6361.69,2024-03-22 17:41:10,Transfer,Healthcare,ATM,182.135.158.162,"Warsaw, Poland",19179.65,False,3,True,ATM,0.83,0
T100110,C1650,2.84,2024-09-17 06:45:33,Purchase,Healthcare,ATM,67.127.3.62,"Amsterdam, Netherlands",22718.0,False,1,False,ATM,0.54,0
T100111,C1175,1468.11,2024-02-10 11:58:47,Purchase,Electronics,Mobile,76.55.132.33,"Warsaw, Poland",14741.06,True,4,False,Online,0.29,1
T100112,C1546,1493.02,2024-10-13 23:35:36,Transfer,Luxury Goods,Mobile,87.193.220.179,"Berlin, Germany",36135.07,True,0,True,Branch,0.75,0
T100113,C1746,5313.03,2024-01-18 04:35:03,Purchase,Groceries,Desktop,202.140.169.64,"Amsterdam, Netherlands",8720.64,True,0,True,Online,0.69,0
T100114,C1250,3900.44,2024-08-06 14:41:29,Withdrawal,Luxury Goods,Mobile,79.93.187.211,"Warsaw, Poland",17521.65,True,3,False,ATM,0.13,0
T100115,C1167,5779.74,2024-07-27 08:30:09,Transfer,Healthcare,Mobile,209.221.249.44,"Paris, France",43188.52,False,5,False,Online,0.71,0
T100116,C1473,1957.47,2024-01-28 08:23:43,Withdrawal,Electronics,Mobile,115.56.150.178,"Paris, France",7620.33,True,2,True,Branch,0.49,0
T100117,C1388,6815.49,2024-01-14 21:26:11,Purchase,Travel,Desktop,28.212.234.129,"Berlin, Germany",7986.37,True,4,True,Branch,0.56,1
T100118,C1276,3166.66,2024-09-05 14:01:20,Transfer,Healthcare,ATM,43.108.175.186,"Amsterdam, Netherlands",14067.56,False,2,True,Online,0.29,0
T100119,C1947,5703.19,2024-01-22 02:26:24,Transfer,Electronics,Desktop,25.222.176.225,"Warsaw, Poland",44494.65,False,2,True,Branch,0.05,1
T100120,C1655,9132.13,2024-08-08 20:39:17,Withdrawal,Travel,ATM,169.4.102.175,"Warsaw, Poland",19665.76,False,3,False,Online,1.0,0
T100121,C1704,3046.2,2024-04-28 15:20:17,Transfer,Luxury Goods,Desktop,3.160.52.34,"Berlin, Germany",47686.04,True,1,False,Branch,0.79,0
T100122,C1570,9433.39,2024-02-20 13:49:20,Withdrawal,Healthcare,ATM,105.177.187.210,"Berlin, Germany",37772.04,True,1,True,ATM,0.67,0
T100123,C1224,4347.84,2024-03-20 13:41:48,Transfer,Electronics,ATM,200.76.228.52,"Berlin, Germany",33620.14,False,5,True,ATM,0.34,0
T100124,C1701,9825.82,2024-01-26 20:53:26,Transfer,Healthcare,ATM,91.223.129.19,"Warsaw, Poland",24715.6,False,2,True,ATM,0.02,1
T100125,C1332,3443.3,2024-07-30 09:37:32,Transfer,Healthcare,ATM,153.43.136.181,"Berlin, Germany",11126.97,False,2,False,Online,0.64,0
T100126,C1863,893.78,2024-03-05 03:38:33,Withdrawal,Travel,ATM,222.63.215.64,"Berlin, Germany",3843.59,False,2,True,ATM,0.19,0
T100127,C1786,82.18,2024-06-07 17:20:59,Purchase,Travel,ATM,147.14.220.240,"Amsterdam, Netherlands",30095.52,True,5,False,Branch,0.19,1
T100128,C1794,9864.23,2024-11-14 10:57:24,Withdrawal,Healthcare,Mobile,50.208.26.21,"Berlin, Germany",14844.74,False,0,True,ATM,0.19,0
T100129,C1057,4042.57,2024-03-09 22:55:20,Purchase,Healthcare,Mobile,125.223.170.71,"Amsterdam, Netherlands",17695.03,True,5,True,Online,0.26,1
T100130,C1234,1276.43,2024-09-07 05:25:33,Transfer,Luxury Goods,ATM,167.75.183.45,"Paris, France",29758.38,False,2,False,Online,0.97,0
T100131,C1841,2942.55,2024-05-27 09:07:15,Purchase,Groceries,ATM,117.18.119.146,"Amsterdam, Netherlands",42118.73,False,1,True,Online,0.61,0
T100132,C1032,3692.86,2024-03-22 20:32:01,Purchase,Luxury Goods,Desktop,9.130.122.169,"Warsaw, Poland",10315.13,False,3,True,Online,0.58,0
T100133,C1824,5489.3,2024-06-04 07:34:16,Transfer,Healthcare,ATM,63.37.64.56,"Berlin, Germany",16916.35,False,0,False,Online,0.73,0
T100134,C1323,532.22,2024-08-15 05:15:02,Purchase,Groceries,Mobile,177.183.134.170,"Warsaw, Poland",17749.98,False,3,True,ATM,0.34,0
T100135,C1410,7033.84,2024-09-01 04:07:21,Transfer,Healthcare,ATM,206.85.76.97,"Berlin, Germany",37393.69,False,2,True,Branch,0.47,1
T100136,C1274,8207.71,2024-08-24 18:09:11,Transfer,Travel,Desktop,145.184.140.184,"Amsterdam, Netherlands",42660.86,True,3,False,Branch,0.8,0
T100137,C1067,3593.09,2024-04-07 07:59:28,Withdrawal,Healthcare,ATM,14.219.113.2,"Paris, France",14106.86,True,4,True,Branch,0.46,1
T100138,C1216,8612.62,2024-11-07 00:49:08,Withdrawal,Healthcare,Mobile,208.54.99.135,"Warsaw, Poland",41650.52,False,0,False,Online,0.39,0
T100139,C1935,8656.93,2024-07-02 07:46:09,Purchase,Luxury Goods,Desktop,141.0.253.36,"Paris, France",10201.18,False,2,True,Online,0.99,1
T100140,C1965,2353.18,2024-08-30 23:49:30,Withdrawal,Luxury Goods,Desktop,113.235.8.148,"Amsterdam, Netherlands",7960.36,True,2,True,ATM,0.11,0
T100141,C1580,7022.52,2024-01-20 20:03:09,Purchase,Groceries,Mobile,164.11.187.230,"Amsterdam, Netherlands",48875.33,False,5,True,ATM,0.56,0
T100142,C1897,3943.29,2024-10-19 08:18:57,Transfer,Healthcare,Desktop,209.252.11.99,"Warsaw, Poland",21849.43,True,0,True,Online,0.41,0
T100143,C1735,3181.95,2024-02-07 19:02:02,Withdrawal,Electronics,Mobile,52.213.54.85,"Berlin, Germany",22594.77,True,4,True,ATM,0.06,1
T100144,C1322,3828.51,2024-04-29 09:36:19,Transfer,Groceries,Mobile,28.93.160.40,"Warsaw, Poland",19198.75,False,4,False,ATM,0.25,0
T100145,C1217,3816.27,2024-01-11 07:36:19,Purchase,Electronics,Mobile,164.234.71.245,"Paris, France",42250.67,False,2,False,ATM,0.74,0
T100146,C1671,5451.64,2024-01-22 15:49:26,Withdrawal,Luxury Goods,Mobile,13.84.188.255,"Berlin, Germany",8368.18,True,5,True,Branch,0.86,1
T100147,C1511,6625.21,2024-05-10 11:30:39,Transfer,Luxury Goods,Mobile,146.17.245.23,"Paris, France",45575.58,True,1,False,Online,0.17,0
T100148,C1405,4749.24,2024-03-28 04:01:03,Transfer,Electronics,Mobile,174.84.134.92,"Warsaw, Poland",24091.82,True,0,True,Branch,0.39,0
T100149,C1905,1883.08,2024-02-25 22:14:32,Transfer,Groceries,Desktop,87.51.35.32,"Paris, France",3693.78,True,3,True,ATM,0.82,0
T100150,C1936,3846.57,2024-10-14 20:23:19,Transfer,Groceries,Mobile,112.61.241.7,"Amsterdam, Netherlands",15206.6,False,5,True,ATM,0.93,0
T100151,C1658,9244.9,2024-10-28 03:03:46,Transfer,Healthcare,ATM,36.149.34.58,"Warsaw, Poland",22010.77,True,3,False,Online,0.4,1
T100152,C1469,8399.79,2024-09-03 02:38:56,Withdrawal,Luxury Goods,Mobile,217.144.82.188,"Amsterdam, Netherlands",593.38,True,1,False,Online,0.73,1
T100153,C1146,1543.52,2024-03-10 16:45:03,Withdrawal,Electronics,Desktop,120.76.231.83,"Amsterdam, Netherlands",40237.33,False,5,False,Online,0.47,0
T100154,C1271,9974.56,2024-05-19 20:08:54,Transfer,Groceries,Desktop,160.75.22.67,"Paris, France",49751.94,False,4,True,Branch,0.08,1
T100155,C1142,6700.99,2024-03-10 11:04:25,Purchase,Electronics,Mobile,91.46.213.187,"Paris, France",16766.72,False,3,False,ATM,0.39,1
T100156,C1252,1343.64,2024-01-06 06:14:51,Withdrawal,Healthcare,ATM,205.207.133.253,"Berlin, Germany",8306.27,False,1,True,ATM,0.85,0
T100157,C1762,718.39,2024-10-23 08:43:42,Withdrawal,Electronics,ATM,151.59.91.164,"Berlin, Germany",7140.87,True,1,True,ATM,0.41,0
T100158,C1574,158.06,2024-02-02 18:14:49,Transfer,Travel,Mobile,158.228.147.39,"Berlin, Germany",36203.06,True,4,True,ATM,0.0,1
T100159,C1551,7213.67,2024-07-30 11:46:06,Purchase,Electronics,Desktop,151.176.142.220,"Paris, France",8534.98,False,1,False,Online,0.96,0
T100160,C1269,4867.53,2024-11-11 15:32:43,Withdrawal,Healthcare,Desktop,138.140.111.176,"Paris, France",2161.76,True,1,True,Online,0.5,0
T100161,C1764,4367.91,2024-05-23 22:28:02,Withdrawal,Healthcare,ATM,50.63.148.152,"Berlin, Germany",29868.59,False,5,True,Branch,0.15,0
T100162,C1598,9902.19,2024-01-12 22:51:05,Purchase,Electronics,Desktop,135.116.75.234,"Paris, France",21338.67,True,5,False,ATM,0.82,1
T100163,C1438,847.55,2024-05-15 16:01:59,Withdrawal,Groceries,Mobile,143.231.60.134,"Amsterdam, Netherlands",48504.48,False,2,False,ATM,0.43,0
T100164,C1919,6422.79,2024-03-16 22:00:27,Transfer,Healthcare,ATM,113.14.81.170,"Warsaw, Poland",7366.0,False,5,False,Online,0.69,1
T100165,C1597,4159.14,2024-02-08 14:22:22,Purchase,Healthcare,ATM,103.37.83.147,"Amsterdam, Netherlands",14448.73,True,3,False,Online,0.73,0
T100166,C1408,4560.83,2024-07-07 00:57:23,Purchase,Healthcare,Mobile,199.74.147.90,"Berlin, Germany",22494.75,True,3,True,Online,0.9,0
T100167,C1370,7889.5,2024-03-04 03:02:16,Withdrawal,Luxury Goods,ATM,146.248.67.95,"Warsaw, Poland",2629.94,False,0,True,Branch,0.28,1
T100168,C1224,6044.69,2024-10-04 18:06:15,Purchase,Electronics,ATM,70.149.144.86,"Berlin, Germany",13590.7,True,4,True,Branch,0.07,1
